contract,method,seed,perturbation_group,n_error_degraded,n_error_improved,n_unchanged,mean_delta_AE,median_delta_AE
SPATIAL_complete,supervised,202,all_physical,11,20,0,-0.27269062033007224,-0.3475513458251953
SPATIAL_complete,supervised,202,all_support,26,5,0,0.8759511260678691,0.6519608497619629
SPATIAL_complete,supervised,202,observation_support,26,5,0,0.8759511260678691,0.6519608497619629
SPATIAL_complete,supervised,202,radiation,15,16,0,-0.1427442543275895,-0.018969058990478516
SPATIAL_complete,supervised,202,temperature,26,5,0,0.6956383306134132,0.31804442405700684
SPATIAL_complete,supervised,202,water_balance,18,13,0,0.2844129330727362,0.05230975151062012
SPATIAL_complete,supervised,303,all_physical,21,10,0,0.20166360738200526,0.23859119415283203
SPATIAL_complete,supervised,303,all_support,22,9,0,0.22680111478221032,0.2414557933807373
SPATIAL_complete,supervised,303,observation_support,22,9,0,0.22680111478221032,0.2414557933807373
SPATIAL_complete,supervised,303,radiation,19,12,0,0.36599501912824567,0.20815825462341309
SPATIAL_complete,supervised,303,temperature,20,11,0,0.31629664876384117,0.3986802101135254
SPATIAL_complete,supervised,303,water_balance,15,16,0,0.01809824783571304,-0.0030343551635745314
