contract,method,seed,perturbation_group,mean_abs_pred_change,mean_perturbation_l2_distance,standardized_sensitivity,dimension_normalized_sensitivity
SPATIAL_complete,missing_aware,202,temperature,1.1315090656280518,2.145152565416429,0.527472536857941,0.5657545328140259
SPATIAL_complete,missing_aware,202,water_balance,0.6912277706207768,3.555538532609975,0.1944087412584389,0.1728069426551942
SPATIAL_complete,missing_aware,303,all_physical,1.7680507552239202,4.647441150897773,0.3804353186660567,0.2525786793177029
SPATIAL_complete,missing_aware,303,all_support,0.2995690491891676,1.4602701610499995,0.2051463196190757,0.0998563497297225
SPATIAL_complete,missing_aware,303,observation_support,0.2995690491891676,1.4602701610499995,0.2051463196190757,0.0998563497297225
SPATIAL_complete,missing_aware,303,radiation,1.1663118427799597,1.958320449243252,0.5955674124886244,1.1663118427799597
SPATIAL_complete,missing_aware,303,temperature,0.7668664378504599,2.145152565416429,0.357488064118756,0.3834332189252299
SPATIAL_complete,missing_aware,303,water_balance,0.6637066871889176,3.555538532609975,0.1866683994847697,0.1659266717972294
SPATIAL_complete,prediction_kd,101,all_physical,1.122442787693393,4.647441150897773,0.2415184509601208,0.1603489696704847
SPATIAL_complete,prediction_kd,101,all_support,0.4602371608057329,1.4602701610499995,0.3151726119463309,0.1534123869352443
SPATIAL_complete,prediction_kd,101,observation_support,0.4602371608057329,1.4602701610499995,0.3151726119463309,0.1534123869352443
SPATIAL_complete,prediction_kd,101,radiation,0.5661166060355401,1.958320449243252,0.2890827220100846,0.5661166060355401
SPATIAL_complete,prediction_kd,101,temperature,1.1294886412159089,2.145152565416429,0.5265306810455784,0.5647443206079544
SPATIAL_complete,prediction_kd,101,water_balance,0.7429002446513022,3.555538532609975,0.2089416941589888,0.1857250611628255
SPATIAL_complete,prediction_kd,202,all_physical,0.7777919923105547,4.647441150897773,0.1673591912315311,0.1111131417586506
SPATIAL_complete,prediction_kd,202,all_support,1.5558059446273311,1.4602701610499995,1.0654233621452427,0.5186019815424437
SPATIAL_complete,prediction_kd,202,observation_support,1.5558059446273311,1.4602701610499995,1.0654233621452427,0.5186019815424437
SPATIAL_complete,prediction_kd,202,radiation,1.8810799352584344,1.958320449243252,0.9605577759167934,1.8810799352584344
SPATIAL_complete,prediction_kd,202,temperature,1.3721354161539383,2.145152565416429,0.6396446752899982,0.6860677080769692
SPATIAL_complete,prediction_kd,202,water_balance,0.9015972075923796,3.555538532609975,0.2535754286792387,0.2253993018980949
SPATIAL_complete,prediction_kd,303,all_physical,0.9183412771071156,4.647441150897773,0.1976014859122028,0.1311916110153022
SPATIAL_complete,prediction_kd,303,all_support,0.3394391594394561,1.4602701610499995,0.2324495620694951,0.1131463864798186
SPATIAL_complete,prediction_kd,303,observation_support,0.3394391594394561,1.4602701610499995,0.2324495620694951,0.1131463864798186
SPATIAL_complete,prediction_kd,303,radiation,0.4603169214340948,1.958320449243252,0.2350569957086127,0.4603169214340948
SPATIAL_complete,prediction_kd,303,temperature,0.7594414391825276,2.145152565416429,0.3540267724662961,0.3797207195912638
SPATIAL_complete,prediction_kd,303,water_balance,0.6724021953921164,3.555538532609975,0.1891140228758382,0.1681005488480291
SPATIAL_complete,representation_kd,101,all_physical,0.4900275122734808,4.647441150897773,0.1054402834511877,0.0700039303247829
SPATIAL_complete,representation_kd,101,all_support,0.2123755601144606,1.4602701610499995,0.1454358007025273,0.0707918533714868
SPATIAL_complete,representation_kd,101,observation_support,0.2123755601144606,1.4602701610499995,0.1454358007025273,0.0707918533714868
SPATIAL_complete,representation_kd,101,radiation,0.2868997666143602,1.958320449243252,0.146502972342999,0.2868997666143602
SPATIAL_complete,representation_kd,101,temperature,0.2171166020054971,2.145152565416429,0.1012126622160545,0.1085583010027485
SPATIAL_complete,representation_kd,101,water_balance,0.2734063363844348,3.555538532609975,0.0768959002628672,0.0683515840961087
SPATIAL_complete,representation_kd,202,all_physical,1.086903601884842,4.647441150897773,0.2338714072096737,0.155271943126406
SPATIAL_complete,representation_kd,202,all_support,0.5186395299050116,1.4602701610499995,0.3551668340135988,0.1728798433016705
SPATIAL_complete,representation_kd,202,observation_support,0.5186395299050116,1.4602701610499995,0.3551668340135988,0.1728798433016705
